plot_nr,X,Y,wetness
1,16.2853,66.04281,0
2,16.28535,66.04282,0
3,16.28535,66.04288,0
4,16.29731,66.03808,4
5,16.29727,66.03809,4
6,16.29735,66.03806,3
7,16.3516,66.03945,2
8,16.35173,66.0394,2
9,16.35181,66.03939,2
10,16.35627,66.03879,10
11,16.35617,66.03878,5
12,16.35615,66.03878,4
13,16.36178,66.05046,79
14,16.3618,66.05053,91
15,16.36179,66.05052,93
16,16.37376,66.04732,18
17,16.37383,66.04733,20
18,16.37396,66.04727,20
19,16.38609,66.04124,48
20,16.38625,66.04122,53
21,16.38617,66.04129,35
22,16.38663,66.03957,37
23,16.38679,66.03959,29
24,16.38671,66.03962,34
25,16.39077,66.03951,77
26,16.39081,66.0396,26
27,16.39097,66.03958,23
28,16.28994,66.04079,13
29,16.29006,66.04075,8
30,16.29013,66.0408,5
31,16.29178,66.04031,5
32,16.29184,66.04029,9
33,16.29176,66.04033,4
34,16.43318,66.02717,10
35,16.43308,66.02716,7
36,16.43306,66.0272,13
37,16.42904,66.02716,10
38,16.42903,66.02709,7
39,16.42884,66.02709,5
40,16.42521,66.027,7
41,16.42515,66.02696,9
42,16.42538,66.02693,18
43,16.42582,66.02814,11
44,16.42589,66.02817,13
45,16.42595,66.0281,15
46,16.42308,66.02787,14
47,16.4232,66.02782,12
48,16.42303,66.02784,13
49,16.4174,66.01514,2
50,16.41745,66.01514,2
51,16.41759,66.01505,6
52,16.42409,66.0145,1
53,16.42411,66.01457,3
54,16.42418,66.01455,1
55,16.43045,66.01606,5
56,16.43053,66.01607,4
57,16.43069,66.01604,1
58,16.49626,66.02398,16
59,16.49663,66.02395,4
60,16.49624,66.02398,16
61,16.59752,66.01006,0
62,16.59761,66.00999,2
63,16.59745,66.01005,1
64,16.60091,66.01145,6
65,16.60092,66.01138,39
66,16.60096,66.01144,4
67,16.60522,66.01332,2
68,16.60542,66.01333,1
69,16.60544,66.01323,2
70,16.60934,66.0144,1
71,16.6095,66.01442,2
72,16.6094,66.01445,2
73,16.62071,66.01721,4
74,16.62136,66.01677,3
75,16.62127,66.01701,2
76,16.60705,66.01482,12
77,16.60712,66.01544,3
78,16.60701,66.0153,5
79,16.53233,66.01857,37
80,16.53243,66.01857,44
81,16.53239,66.01856,34
82,16.52919,66.0198,28
83,16.52915,66.01979,24
84,16.52917,66.01978,30
85,16.51896,66.0219,4
86,16.51885,66.02191,4
87,16.51884,66.0219,6
88,16.51506,66.02179,10
89,16.51492,66.02178,7
90,16.51498,66.02174,5
91,16.50903,66.02167,14
92,16.50899,66.02156,23
93,16.5089,66.02158,21
94,16.49224,66.02891,13
95,16.49219,66.02896,14
96,16.49224,66.02895,9
97,16.48653,66.03112,7
98,16.4866,66.03111,5
99,16.48658,66.03112,5
100,16.46245,66.02863,8
101,16.46248,66.02864,8
102,16.46249,66.02867,10
